18	0.44087	0
359	10.475	1
700	20.501	2
1036	30.532	3
1369	40.569	4
1720	50.6	5
2073	60.635	6
2418	70.662	7
2747	80.696	8
3059	90.731	9
3401	100.76	0
3747	110.8	1
4087	120.83	2
4425	130.86	3
4770	140.91	4
5093	150.94	5
5412	160.98	6
5720	171	7
6059	181.03	8
6412	191.07	9
6756	201.09	0
7078	211.13	1
7415	221.16	2
7767	231.19	3
8106	241.23	4
8447	251.26	5
8783	261.29	6
9126	271.32	7
9474	281.36	8
9816	291.39	9
10163	301.42	0
10508	311.45	1
10846	321.49	2
11148	331.52	3
11491	341.56	4
11838	351.58	5
12175	361.61	6
12513	371.64	7
12865	381.68	8
13208	391.7	9
13546	401.73	0
13888	411.76	1
14237	421.8	2
14576	431.82	3
14919	441.87	4
15223	451.9	5
15552	461.94	6
15876	471.98	7
16208	482	8
16549	492.03	9
16886	502.06	0
17230	512.11	1
17571	522.14	2
17916	532.16	3
18270	542.21	4
18613	552.23	5
18950	562.26	6
19285	572.29	7
19620	582.32	8
19962	592.35	9
20294	602.38	0
20625	612.42	1
20973	622.45	2
21313	632.49	3
21656	642.53	4
22009	652.56	5
22346	662.6	6
22685	672.63	7
23021	682.67	8
23348	692.69	9
23673	702.72	0
24021	712.76	1
24351	722.78	2
24675	732.81	3
25019	742.86	4
25319	752.89	5
25622	762.92	6
25970	772.95	7
26321	782.98	8
26638	793.01	9
26990	803.04	0
27311	813.08	1
27646	823.12	2
27993	833.15	3
28330	843.18	4
28666	853.22	5
29010	863.25	6
29345	873.28	7
29699	883.32	8
30042	893.35	9
30368	903.37	0
30716	913.41	1
31060	923.44	2
31359	933.47	3
31546	943.5	4
31867	953.54	5
32194	963.57	6
32498	973.6	7
32844	983.63	8
33178	993.66	9
