15	0.44238	0
358	10.478	1
698	20.509	2
1040	30.537	3
1396	40.577	4
1702	50.619	5
2035	60.66	6
2373	70.688	7
2720	80.723	8
3063	90.764	9
3395	100.8	0
3684	110.83	1
4024	120.86	2
4363	130.9	3
4498	140.95	4
4825	150.98	5
5166	161.02	6
5482	171.05	7
5803	181.09	8
6119	191.12	9
6456	201.17	0
6789	211.2	1
7127	221.24	2
7439	231.28	3
7677	241.33	4
8023	251.36	5
8353	261.4	6
8689	271.43	7
9028	281.47	8
9377	291.51	9
9713	301.54	0
10052	311.57	1
10395	321.61	2
10731	331.64	3
11070	341.68	4
11383	351.72	5
11681	361.75	6
12023	371.78	7
12360	381.82	8
12700	391.86	9
13040	401.93	0
13378	411.98	1
13715	422	2
14039	432.04	3
14360	442.09	4
14708	452.13	5
15051	462.17	6
15351	472.19	7
15634	482.22	8
15963	492.25	9
16299	502.28	0
16633	512.32	1
16983	522.36	2
17321	532.39	3
17652	542.44	4
17971	552.47	5
18307	562.51	6
18645	572.55	7
18993	582.58	8
19324	592.62	9
19631	602.66	0
19953	612.69	1
20130	661.01	2
20131	671.88	3
20132	681.94	4
20133	691.98	5
20134	702.01	6
20135	712.04	7
20335	722.08	8
20664	732.11	9
21000	742.16	0
21344	752.19	1
21679	762.22	2
22019	772.24	3
22368	782.29	4
22704	792.32	5
23044	802.36	6
23389	812.4	7
23733	822.43	8
24061	832.47	9
24370	842.5	0
24681	852.54	1
25007	862.57	2
25349	872.61	3
25687	882.66	4
26023	892.69	5
26359	902.73	6
26698	912.76	7
27031	922.79	8
27369	932.83	9
27707	942.86	0
28026	952.89	1
28354	962.92	2
28653	972.95	3
28984	983.01	4
29318	993.03	5
29658	1003.1	6
29999	1013.1	7
30330	1023.2	8
30667	1033.2	9
