62	1.9989	0
397	12.045	1
738	22.075	2
1087	32.107	3
1406	42.143	4
1722	52.174	5
1998	62.203	0
2306	72.234	1
2606	82.269	2
2937	92.297	3
3238	102.33	4
3563	112.36	5
3903	122.39	0
4203	132.42	1
4538	142.45	2
4862	152.48	3
5174	162.52	4
5489	172.56	5
5805	182.59	0
6128	192.62	1
6471	202.65	2
6793	212.68	3
7104	222.72	4
7421	232.75	5
7746	242.78	0
8083	252.82	1
8406	262.84	2
8730	272.88	3
9051	282.92	4
9374	292.96	5
9695	302.99	0
10004	313.02	1
10339	323.05	2
10663	333.08	3
10973	343.12	4
11279	353.15	5
11622	363.19	0
11944	373.23	1
12263	383.26	2
12558	393.29	3
12877	403.32	4
13188	413.35	5
13510	423.39	0
13790	433.43	1
14103	443.46	2
14415	453.49	3
14726	463.53	4
15046	473.56	5
15373	483.6	0
15687	493.63	1
16006	503.66	2
16343	513.69	3
16648	523.73	4
16965	533.77	5
17296	543.8	0
17599	553.83	1
17915	563.86	2
18242	573.89	3
18560	583.93	4
18875	593.96	5
